,,Estimated Actual,Estimate,,
"Industry, Science and Resources",Commonwealth Scientific and Industrial Research Organisation,"6,050","5,904",,
"Industry, Science and Resources",Geoscience Australia,652,755,,
"Industry, Science and Resources",IP Australia,"1,100","1,100",,
"Industry, Science and Resources",National Offshore Petroleum Safety and Environmental Management Authority,174,195,,
"Industry, Science and Resources",National Reconstruction Fund Corporation,37,104,,
"Industry, Science and Resources",Portfolio total ,"12,590","12,803",,
"Infrastructure, Transport, Regional Development, Communications and the Art","Department of Infrastructure, Transport, Regional Development, Communications and the Arts","2,043","2,271",,
"Infrastructure, Transport, Regional Development, Communications and the Art",Australian Broadcasting Corporation,"4,313","4,313",,
"Infrastructure, Transport, Regional Development, Communications and the Art",Australian Communications and Media Authority,608,654,,
"Infrastructure, Transport, Regional Development, Communications and the Art","Australian Film, Television and Radio School",150,145,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Australian Maritime Safety Authority,470,481,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Australian National Maritime Museum,107,115,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Australian Transport Safety Bureau,110,120,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Bundanon Trust,50,50,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Civil Aviation Safety Authority,820,832,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Creative Australia,143,149,,
"Infrastructure, Transport, Regional Development, Communications and the Art",High Speed Rail Authority,21,28,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Infrastructure Australia,40,40,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Archives of Australia,376,376,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Capital Authority,65,61,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Film and Sound Archive of Australia,211,213,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Gallery of Australia,217,217,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Library of Australia,393,410,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Museum of Australia,229,222,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Portrait Gallery of Australia,55,55,,
"Infrastructure, Transport, Regional Development, Communications and the Art",National Transport Commission,46,44,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Northern Australia Infrastructure Facility,1,1,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Old Parliament House,99,101,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Screen Australia,108,105,,
"Infrastructure, Transport, Regional Development, Communications and the Art",Special Broadcasting Service Corporation,"1,352","1,369",,
"Infrastructure, Transport, Regional Development, Communications and the Art",Portfolio total,"12,026","12,369",,
Parliamentary Departments,Department of Parliamentary Services,"1,006","1,010",,
Parliamentary Departments,Department of the House of Representatives,160,178,,
Parliamentary Departments,Department of the Senate,173,180,,
Parliamentary Departments,Parliamentary Budget Office,44,48,,
Parliamentary Departments,Portfolio total,"1,383","1,416",,
Prime Minister and Cabinet,Department of the Prime Minister and Cabinet,"1,265","1,305",,
Prime Minister and Cabinet,Aboriginal Hostels Limited,360,380,,
Prime Minister and Cabinet,Australian Institute of Aboriginal and Torres Strait Islander Studies,182,194,,
Prime Minister and Cabinet,Australian National Audit Office,415,410,,
Prime Minister and Cabinet,Australian Public Service Commission,393,378,,
Prime Minister and Cabinet,Indigenous Business Australia,229,234,,
Prime Minister and Cabinet,Indigenous Land and Sea Corporation,167,167,,
Prime Minister and Cabinet,National Australia Day Council Limited,12,14,,
Prime Minister and Cabinet,National Indigenous Australians Agency,"1,433","1,486",,
Prime Minister and Cabinet,Northern Territory Aboriginal Investment Corporation,32,37,,
Prime Minister and Cabinet,Office of National Intelligence,421,402,,
Prime Minister and Cabinet,Office of the Official Secretary to the Governor-General,83,96,,
Prime Minister and Cabinet,Outback Stores Pty Ltd,172,179,,
Prime Minister and Cabinet,Torres Strait Regional Authority,159,169,,
Prime Minister and Cabinet,Workplace Gender Equality Agency,59,59,,
Prime Minister and Cabinet,Portfolio total,"5,382","5,511",,
Social Services,Department of Social Services,"2,894","2,891",,
Social Services,Australian Institute of Family Studies,99,97,,
Social Services,"Domestic, Family and Sexual Violence Commission",12,22,,
Social Services,NDIS Quality and Safeguards Commission,818,908,,
Social Services,National Disability Insurance Agency,"6,409","8,069",,
Social Services,Services Australia,"28,519","30,236",,
Social Services,Portfolio total,"38,751","42,222",,
Treasury,Department of the Treasury,"1,487","1,586",,
Treasury,Australian Bureau of Statistics,"2,887","3,119",,
Treasury,Australian Competition and Consumer Commission,"1,560","1,719",,
Treasury,Australian Office of Financial Management,48,52,,
Treasury,Australian Prudential Regulation Authority,857,893,,
Treasury,Australian Securities and Investments Commission,"1,709","1,948",,
Treasury,Australian Taxation Office,"19,579","21,350",,
Treasury,Commonwealth Grants Commission,34,34,,
Treasury,Housing Australia,151,197,,
Treasury,Inspector-General of Taxation,35,35,,
Treasury,National Competition Council,1,1,,
Treasury,Office of the Auditing and Assurance Standards Board,9,13,,
Treasury,Office of the Australian Accounting Standards Board,26,39,,
Treasury,Productivity Commission,187,187,,
Treasury,Royal Australian Mint,239,239,,
Treasury,Portfolio total ,"28,809","31,413",,
,,,,,
,GGS Total (excluding military and reserves),"197,108","209,150",,
,GGS Total (including military and reserves),"276,740","294,287",,
