Portfolio,Entity,Item,Type,Departmental Operating $'000,Departmental Non-operating $'000,Departmental External Revenue $'000,Departmental Special Appropriation $'000,Special Accounts $'000,Administered Operating $'000,Administered SPPs $'000,Administered Non-operating $'000,Administered Special Appropriation $'000,Total $'000
TREASURY,Australian Taxation Office,Total,Agency Resourcing,4306935,30092,184651,0,29675,10564,0,0,18205192,22767109
TREASURY,Australian Taxation Office,Total,Estimated Actual,4179855,22348,180670,0,22210,5934,0,0,18148027,22559044
TREASURY,Commonwealth Grants Commission,Outcome 1,Agency Resourcing,8339,0,0,0,0,0,0,0,0,8339
TREASURY,Commonwealth Grants Commission,Outcome 1,Estimated Actual,8175,0,0,0,0,0,0,0,0,8175
TREASURY,Commonwealth Grants Commission,Total,Agency Resourcing,8339,0,0,0,0,0,0,0,0,8339
TREASURY,Commonwealth Grants Commission,Total,Estimated Actual,8175,0,0,0,0,0,0,0,0,8175
TREASURY,Inspector-General of Taxation,Outcome 1,Agency Resourcing,7356,0,0,0,0,0,0,0,0,7356
TREASURY,Inspector-General of Taxation,Outcome 1,Estimated Actual,6709,0,0,0,0,0,0,0,0,6709
TREASURY,Inspector-General of Taxation,Total,Agency Resourcing,7356,0,0,0,0,0,0,0,0,7356
TREASURY,Inspector-General of Taxation,Total,Estimated Actual,6709,0,0,0,0,0,0,0,0,6709
TREASURY,National Competition Council,Outcome 1,Agency Resourcing,1753,0,0,0,0,0,0,0,0,1753
TREASURY,National Competition Council,Outcome 1,Estimated Actual,1727,0,0,0,0,0,0,0,0,1727
TREASURY,National Competition Council,Total,Agency Resourcing,1753,0,0,0,0,0,0,0,0,1753
TREASURY,National Competition Council,Total,Estimated Actual,1727,0,0,0,0,0,0,0,0,1727
TREASURY,Office of the Auditing and Assurance Standards Board,Outcome 1,Agency Resourcing,4001,0,0,0,0,0,0,0,0,4001
TREASURY,Office of the Auditing and Assurance Standards Board,Outcome 1,Estimated Actual,2917,0,0,0,0,0,0,0,0,2917
TREASURY,Office of the Auditing and Assurance Standards Board,Total,Agency Resourcing,4001,0,0,0,0,0,0,0,0,4001
TREASURY,Office of the Auditing and Assurance Standards Board,Total,Estimated Actual,2917,0,0,0,0,0,0,0,0,2917
TREASURY,Office of the Australian Accounting Standards Board,Outcome 1,Agency Resourcing,8389,0,1050,0,0,0,0,0,0,9439
TREASURY,Office of the Australian Accounting Standards Board,Outcome 1,Estimated Actual,5039,0,1050,0,0,0,0,0,0,6089
TREASURY,Office of the Australian Accounting Standards Board,Total,Agency Resourcing,8389,0,1050,0,0,0,0,0,0,9439
TREASURY,Office of the Australian Accounting Standards Board,Total,Estimated Actual,5039,0,1050,0,0,0,0,0,0,6089
TREASURY,Productivity Commission,Outcome 1,Agency Resourcing,38664,0,10,0,0,0,0,0,0,38674
TREASURY,Productivity Commission,Outcome 1,Estimated Actual,37874,0,10,0,0,0,0,0,0,37884
TREASURY,Productivity Commission,Total,Agency Resourcing,38664,0,10,0,0,0,0,0,0,38674
TREASURY,Productivity Commission,Total,Estimated Actual,37874,0,10,0,0,0,0,0,0,37884
TREASURY,Royal Australian Mint,Outcome 1,Agency Resourcing,0,0,0,0,166982,0,0,0,0,166982
TREASURY,Royal Australian Mint,Outcome 1,Estimated Actual,0,0,0,0,222368,0,0,0,0,222368
TREASURY,Royal Australian Mint,Total,Agency Resourcing,0,0,0,0,166982,0,0,0,0,166982
TREASURY,Royal Australian Mint,Total,Estimated Actual,0,0,0,0,222368,0,0,0,0,222368
TREASURY,,PORTFOLIO TOTAL,Agency Resourcing,6353208,34496,767285,0,1786904,173187,0,1544000,674706916,685365996
TREASURY,,PORTFOLIO TOTAL,Estimated Actual,5951976,31180,1085916,0,3459285,327944,0,825000,322698776,334380077
